Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude,State
Shaw's,Q01575,Attleborough Falls,"Attleborough Falls, MA","125 Robert F Toner Blvd, Attleborough Falls, MA",41.9708459,-71.3009697,MA
Shaw's,Q01581,Beverly,"Beverly, MA","71 Dodge St, Beverly, MA",42.5771002,-70.8884257,MA
Shaw's,Q01582,Brockton,"Brockton, MA","641 Belmont St, Brockton, MA",42.0721844,-71.0457839,MA
Shaw's,Q01533,Burlington,"Burlington, MA","180A Cambridge St, Burlington, MA",42.5114191,-71.198634,MA
Shaw's,Q01583,Canton,"Canton, MA","95 Washington St, Canton, MA",42.1405609,-71.1476248,MA
Shaw's,Q01527,Cohasset,"Cohasset, MA","739 Chief Justice Cushing Hwy, Cohasset, MA",42.2221284,-70.8050044,MA
Shaw's,Q01469,Dartmouth,"Dartmouth, MA","15 State Rd, Dartmouth, MA",41.6361645,-70.96159039999999,MA
Shaw's,Q01441,Fall River,"Fall River, MA","4171 N Main St, Fall River, MA",41.7508914,-71.12089929999999,MA
Shaw's,Q01442,Groton,"Groton, MA","760 Boston Rd, Groton, MA",42.5799145,-71.5239916,MA
Shaw's,Q01578,Mansfield,"Mansfield, MA","390 West St, Mansfield, MA",42.0231538,-71.23364839999999,MA
Star Market,Q01540,Marshfield,"Marshfield, MA","1 Snow Rd, Marshfield, MA",42.0913382,-70.70814519999999,MA
Shaw's,Q01470,Medway,"Medway, MA","65 Main St, Medway, MA",42.1520835,-71.403251,MA
Shaw's,Q01531,Melrose,"Melrose, MA","34 Essex St, Melrose, MA",42.4562287,-71.06602649999999,MA
Shaw's,Q01461,Milford,"Milford, MA","93 Prospect St, Milford, MA",42.1388342,-71.53354019999999,MA
Shaw's,Q01567,North Easton,"North Easton, MA","690 Depot St, North Easton, MA",42.0242698,-71.1164429,MA
Shaw's,Q01584,Norwood,"Norwood, MA","134 Nahatan St, Norwood, MA",42.192538,-71.196726,MA
Shaw's,Q01535,Orleans,"Orleans, MA","9 West Rd, Orleans, MA",41.7808356,-70.00216379999999,MA
Shaw's,Q01541,Peabody,"Peabody, MA","128 Essex Center Dr, Peabody, MA",42.5394149,-70.9489215,MA
Shaw's,Q01473,Plymouth,"Plymouth, MA","2260 State Rd, Plymouth, MA",41.8208995,-70.5504775,MA
Shaw's,Q01464,Wareham,"Wareham, MA","127 Marion Rd, Wareham, MA",41.7596904,-70.72883449999999,MA
Shaw's,Q01520,Weymouth,"Weymouth, MA","610 Middle St, Weymouth, MA",42.2027904,-70.9429771,MA
Shaw's,Q01465,Worcester,"Worcester, MA","14 W Boylston St, Worcester, MA",42.2886595,-71.8065436,MA
Shaw's,Q01472,Worcester,"Worcester, MA","68 Stafford St, Worcester, MA",42.2418438,-71.8418339,MA
Kroger,Q01016,Fishers,"Fishers, IN","11700 Olio Rd, Fishers, IN",39.9597079,-85.9224072,IN
Kroger,Q01091,Fishers,"Fishers, IN","7450 Fishers Station Drive, Fishers, IN",39.95842,-86.0374566,IN
Kroger,Q01076,Greenwood,"Greenwood, IN","2200 Independence Dr, Greenwood, IN",39.5839204,-86.1028047,IN
Kroger,Q00852,Indianapolis,"Indianapolis, IN","5718 Crawfordsville Rd, Indianapolis, IN",39.7993099,-86.26109290000001,IN
Kroger,Q01014,Indianapolis,"Indianapolis, IN","5911 Madison Ave, Indianapolis, IN",39.6805344,-86.1306164,IN
Kroger,Q01396,Noblesville,"Noblesville, IN","172 Logan St, Noblesville, IN",40.0498258,-86.0197306,IN
Kroger,Q01080,Westfield,"Westfield, IN","150 W 161st St, Westfield, IN",40.0218665,-86.16134579999999,IN
King Soopers,Q00265,Arvada,"Arvada, CO","12350 W 64th Ave, Arvada, CO",39.8111941,-105.1365857,CO
King Soopers,Q00438,Arvada,"Arvada, CO","8031 Wadsworth Blvd, Arvada, CO",39.8434311,-105.0838725,CO
King Soopers,Q00642,Arvada,"Arvada, CO","15200 W 64th Ave, Arvada, CO",39.8106276,-105.1719422,CO
